Produce_Type,Temperature_C,Humidity_Percent,Days_Since_Harvest,Remaining_Shelf_Life_Days
Onion,22,54,20,4
Brinjal,12,61,17,1
Cauliflower,2,94,11,11
Tomato,16,71,11,1
Carrot,2,88,15,45
Cucumber,18,90,17,1
Brinjal,15,80,17,1
Cucumber,10,94,10,5
Tomato,19,72,1,2
Brinjal,10,67,3,10
Onion,26,57,8,18
Cucumber,12,82,10,5
Tomato,26,58,20,1
Onion,18,48,14,26
Potato,10,55,2,37
Cauliflower,7,86,2,24
Cucumber,13,95,17,1
Capsicum,10,67,14,1
Tomato,29,76,19,1
Onion,21,60,1,23
Spinach,2,90,16,1
Capsicum,17,70,15,1
Tomato,20,50,8,1
Cauliflower,8,90,6,10
Spinach,0,92,20,1
Brinjal,25,74,4,4
Brinjal,10,73,17,1
Potato,16,50,17,24
Cabbage,1,85,2,16
Carrot,5,86,13,44
Brinjal,20,70,3,6
Potato,13,42,5,21
Potato,13,49,18,10
Cucumber,18,89,7,1
Capsicum,19,72,8,1
Onion,20,41,20,13
Cauliflower,0,86,2,23
Onion,19,48,9,9
Potato,16,64,17,30
Carrot,9,87,11,25
Carrot,7,92,9,51
Spinach,1,99,20,1
Capsicum,18,66,10,1
Cabbage,8,95,11,25
Cauliflower,3,95,20,2
Potato,15,58,15,21
Capsicum,9,74,13,3
Potato,13,51,13,8
Cauliflower,3,94,18,1
Spinach,1,97,3,8
Brinjal,16,63,3,12
Carrot,7,87,19,22
Potato,14,45,1,20
Spinach,2,98,18,1
Carrot,5,90,8,18
Carrot,1,94,16,41
Brinjal,16,69,4,10
Spinach,3,91,9,6
Potato,19,57,20,1
Onion,17,67,12,4
Brinjal,11,62,1,6
Capsicum,18,74,11,5
Brinjal,22,64,17,1
Carrot,8,94,17,25
Cauliflower,10,92,3,21
Capsicum,11,66,18,1
Spinach,1,92,5,5
Onion,22,56,6,12
Tomato,17,66,16,1
Tomato,19,55,10,1
Cucumber,15,84,12,3
Brinjal,12,74,7,1
Potato,12,67,11,44
Cauliflower,8,88,6,15
Cauliflower,3,87,14,1
Tomato,21,72,2,2
Onion,23,54,7,17
Potato,16,40,7,13
Carrot,1,90,11,34
Carrot,9,93,12,23
Brinjal,20,61,4,7
Tomato,23,59,9,1
Cabbage,1,95,18,2
Spinach,0,95,20,1
Potato,11,68,20,33
Spinach,1,93,13,1
Carrot,6,89,13,24
Spinach,3,97,8,1
Potato,11,61,8,29
Capsicum,14,74,18,1
Carrot,4,89,9,31
Cauliflower,9,95,5,24
Spinach,2,100,10,1
Carrot,5,94,18,30
Cabbage,1,95,10,9
Potato,10,59,12,29
Capsicum,19,65,15,1
Cucumber,16,94,14,1
Onion,29,42,9,17
Capsicum,7,65,17,1
Cucumber,18,90,4,3
Tomato,22,62,19,1
Cucumber,12,84,15,1
Cucumber,13,90,17,1
Onion,26,66,8,32
Brinjal,17,60,14,1
Carrot,8,85,15,30
Cucumber,15,91,7,6
Cauliflower,5,92,10,9
Onion,22,70,4,34
Capsicum,12,71,16,2
Capsicum,9,72,20,1
Onion,25,40,16,7
Cucumber,15,83,15,1
Cauliflower,1,87,9,14
Onion,30,69,8,25
Cauliflower,2,91,7,21
Potato,18,63,20,30
Brinjal,17,68,1,5
Tomato,26,64,13,1
Potato,20,70,10,7
Onion,19,61,10,1
Cabbage,3,88,2,46
Onion,22,55,15,24
Carrot,5,92,13,47
Capsicum,10,85,1,7
Capsicum,17,69,5,2
Cabbage,10,87,16,11
Cauliflower,3,89,13,13
Carrot,2,87,17,12
Carrot,8,88,3,40
Brinjal,10,65,17,1
Cabbage,4,87,11,18
Cucumber,16,83,3,8
Capsicum,17,85,17,1
Tomato,19,59,11,1
Capsicum,17,69,10,7
Tomato,27,76,8,1
Cauliflower,7,85,20,10
Brinjal,24,64,13,1
Potato,13,47,6,36
Cabbage,7,88,1,33
Potato,18,54,5,55
Cucumber,13,94,16,1
Cauliflower,5,93,5,12
Brinjal,17,72,2,9
Cauliflower,1,94,18,3
Potato,14,60,6,12
Tomato,22,76,11,1
Onion,30,66,8,19
Spinach,2,100,17,1
Brinjal,12,64,10,2
Carrot,2,90,4,53
Cabbage,7,90,8,9
Carrot,5,91,14,35
Spinach,3,90,12,2
Carrot,0,93,4,31
Carrot,6,86,15,14
Carrot,7,86,16,22
Cabbage,7,88,4,40
Cauliflower,0,93,2,10
Onion,20,60,9,5
Cucumber,12,91,1,5
Onion,29,43,8,20
Brinjal,10,75,17,1
Onion,29,45,16,4
Carrot,4,87,1,26
Onion,16,48,11,29
Tomato,24,66,6,1
Carrot,8,93,3,20
Brinjal,10,69,18,1
Potato,16,49,15,8
Tomato,23,50,16,1
Brinjal,15,67,2,3
Cucumber,10,90,7,3
Brinjal,16,67,10,1
Onion,20,67,8,26
Onion,28,63,14,26
Carrot,9,89,8,40
Capsicum,20,74,19,1
Cauliflower,0,88,6,20
Spinach,5,99,7,4
Spinach,0,95,4,1
Carrot,8,91,11,26
Spinach,2,92,16,1
Capsicum,8,71,6,5
Cucumber,12,90,11,2
Carrot,4,87,14,45
Tomato,17,63,12,1
Carrot,10,94,8,33
Capsicum,17,77,11,4
Tomato,16,77,19,1
Spinach,5,93,7,5
Onion,19,60,3,16
Potato,18,44,7,30
Cauliflower,4,93,5,17
Carrot,9,95,12,30
Brinjal,22,65,7,1
Carrot,8,88,6,32
Potato,20,70,8,39
Potato,11,40,14,6
Capsicum,16,85,20,1
Potato,17,67,6,28
Cauliflower,10,93,5,20
Carrot,7,85,17,32
Potato,16,63,14,39
Spinach,5,95,19,1
Cauliflower,6,94,17,1
Spinach,1,97,4,11
Spinach,5,90,5,6
Cucumber,12,83,8,1
Carrot,3,93,4,31
Spinach,1,91,20,1
Cucumber,14,83,10,2
Tomato,16,55,1,6
Carrot,7,92,18,41
Capsicum,13,78,3,11
Carrot,2,85,19,35
Brinjal,22,74,14,1
Potato,10,66,4,30
Onion,18,68,12,28
Tomato,20,71,10,1
Brinjal,20,80,17,1
Carrot,8,85,14,46
Brinjal,14,71,16,1
Cucumber,10,87,14,1
Carrot,5,95,17,15
Capsicum,10,71,10,5
Brinjal,16,78,1,7
Spinach,4,97,10,2
Brinjal,18,60,10,4
Brinjal,21,74,3,8
Capsicum,7,65,5,11
Cabbage,3,93,9,10
Onion,28,62,1,9
Cucumber,14,93,20,1
Cucumber,14,85,8,1
Spinach,5,100,17,1
Potato,19,51,7,32
Potato,18,46,16,2
Brinjal,10,63,9,1
Tomato,23,75,11,1
Spinach,4,93,18,1
Tomato,18,69,8,1
Tomato,16,75,9,1
Tomato,20,69,8,1
Potato,10,42,14,45
Cabbage,1,87,15,10
Carrot,3,85,16,20
Cucumber,14,89,12,2
Cauliflower,3,94,9,11
Spinach,0,91,11,2
Capsicum,7,68,16,2
Carrot,10,87,15,45
Tomato,27,54,2,2
Tomato,20,75,6,3
Carrot,0,88,8,27
Cabbage,3,88,10,13
Cabbage,1,93,5,28
Onion,21,57,14,19
Cabbage,10,88,18,25
Carrot,1,86,12,39
Potato,11,61,5,23
Spinach,4,96,16,1
Cabbage,10,85,13,25
Spinach,4,90,6,6
Tomato,28,78,5,1
Cauliflower,0,92,4,7
Potato,14,43,20,24
Cucumber,18,92,7,1
Spinach,3,93,6,3
Cabbage,0,95,20,2
Cauliflower,5,95,6,15
Potato,17,65,19,14
Onion,23,49,19,10
Tomato,16,53,11,1
Onion,20,62,6,18
Potato,11,42,1,29
Cucumber,16,94,11,2
Carrot,7,93,12,39
Brinjal,13,70,11,1
Brinjal,23,69,17,1
Carrot,9,90,2,45
Potato,11,69,19,1
Cabbage,6,85,1,26
Carrot,7,94,5,31
Tomato,15,61,18,1
Potato,16,62,4,13
Cauliflower,0,87,3,15
Tomato,21,58,4,3
Capsicum,12,83,18,1
Cauliflower,0,88,8,7
Cauliflower,5,95,4,7
Brinjal,11,71,9,2
Onion,26,52,8,15
Onion,28,59,20,16
Capsicum,19,72,9,7
Carrot,6,90,11,34
Onion,29,64,15,24
Cauliflower,0,89,13,8
Onion,19,70,5,27
Carrot,7,89,9,14
Tomato,16,71,12,1
Spinach,3,96,16,1
Brinjal,24,67,4,5
Tomato,23,79,15,1
Spinach,2,95,9,6
Capsicum,15,73,19,1
Onion,24,52,11,23
Carrot,5,95,4,27
Cauliflower,5,93,11,18
Potato,11,49,8,11
Potato,11,58,17,17
Spinach,0,92,2,10
Tomato,29,56,19,1
Onion,27,53,8,26
Carrot,8,85,18,8
Capsicum,17,75,10,8
Tomato,26,73,1,3
Carrot,9,89,12,36
Potato,19,52,5,13
Onion,26,58,1,18
Cucumber,16,84,19,1
Cauliflower,4,91,5,16
Cabbage,8,89,4,45
Brinjal,24,63,12,1
Potato,15,52,9,27
Cauliflower,8,88,17,1
Cauliflower,6,85,12,6
Potato,13,59,14,9
Brinjal,15,78,18,1
Potato,12,50,14,2
Cucumber,10,93,9,3
Cucumber,20,94,16,1
Cabbage,4,94,2,18
Carrot,4,88,3,37
Tomato,23,54,7,1
Carrot,5,90,15,45
Capsicum,11,80,12,7
Cauliflower,7,87,1,9
Potato,12,69,13,7
Potato,11,40,20,3
Brinjal,14,79,13,1
Cucumber,14,83,1,4
Carrot,10,87,17,10
Brinjal,23,73,8,6
Tomato,18,62,2,7
Cabbage,3,88,5,38
Cabbage,4,92,14,3
Spinach,3,96,9,6
Capsicum,14,77,5,10
Carrot,9,92,17,17
Cabbage,1,93,12,21
Capsicum,20,76,8,1
Capsicum,16,68,5,3
Capsicum,13,75,7,13
Brinjal,10,69,13,1
Carrot,5,93,11,38
Cucumber,20,85,1,9
Cabbage,6,86,18,13
Potato,11,59,1,51
Onion,19,47,20,2
Cauliflower,7,92,11,18
Carrot,0,85,12,44
Brinjal,12,79,1,9
Onion,23,67,4,36
Spinach,0,93,16,1
Capsicum,9,76,10,6
Tomato,27,56,11,1
Capsicum,20,70,3,5
Potato,18,40,16,30
Brinjal,12,80,1,4
Onion,26,46,5,22
Potato,19,67,13,13
Brinjal,19,73,17,1
Capsicum,16,68,3,11
Tomato,16,52,1,4
Cabbage,9,88,1,28
Cabbage,2,87,7,14
Cabbage,5,92,5,35
Tomato,22,50,10,1
Carrot,5,85,14,22
Brinjal,14,67,3,2
Tomato,20,58,2,3
Cabbage,8,92,6,16
Cabbage,8,88,13,11
Potato,14,57,2,38
Brinjal,23,68,4,10
Tomato,20,58,16,1
Cucumber,11,92,6,5
Tomato,23,65,5,3
Capsicum,19,77,15,2
Cauliflower,5,95,1,23
Tomato,15,52,2,2
Cauliflower,2,86,15,1
Cucumber,16,92,19,1
Cauliflower,8,86,16,12
Brinjal,18,77,14,1
Cabbage,4,92,20,8
Cabbage,1,94,9,10
Carrot,6,93,8,33
Cabbage,8,94,14,1
Tomato,27,52,20,1
Capsicum,11,75,18,1
Brinjal,22,67,5,7
Cauliflower,7,87,3,18
Potato,20,59,3,32
Capsicum,8,65,10,1
Capsicum,13,80,19,1
Cabbage,5,94,14,36
Cucumber,18,83,10,2
Brinjal,24,70,20,1
Onion,15,42,19,5
Brinjal,21,62,14,1
Tomato,30,72,9,1
Carrot,8,88,18,11
Onion,27,62,3,17
Onion,28,56,9,1
Brinjal,16,78,14,1
Carrot,9,92,19,1
Tomato,24,64,5,1
Capsicum,14,65,18,1
Cabbage,8,93,19,27
Capsicum,9,65,11,2
Carrot,0,87,8,40
Cabbage,2,91,18,1
Cucumber,16,82,2,8
Cucumber,10,90,5,4
Capsicum,12,85,4,5
Cabbage,8,92,1,47
Tomato,18,67,6,3
Cauliflower,9,95,6,7
Cucumber,19,88,13,1
Onion,21,41,12,6
Spinach,5,99,4,7
Cabbage,7,87,12,18
Brinjal,20,65,5,3
Spinach,4,96,12,1
Potato,15,47,18,24
Brinjal,22,65,11,2
Potato,19,58,18,10
Cucumber,12,83,8,2
Potato,20,66,7,11
Cucumber,10,90,3,7
Capsicum,10,84,20,1
Carrot,6,87,13,28
Cauliflower,1,87,5,12
Capsicum,18,68,13,6
Carrot,3,95,11,9
Tomato,23,69,18,1
Carrot,3,86,17,18
Onion,29,61,5,32
Capsicum,11,71,4,5
Carrot,4,85,19,16
Capsicum,15,68,7,1
Cucumber,14,89,8,3
Carrot,2,92,12,34
Carrot,3,85,17,6
Cucumber,19,84,16,1
Spinach,3,97,14,1
Potato,14,62,7,16
Spinach,4,96,9,1
Onion,27,40,15,1
Capsicum,19,75,16,4
Tomato,29,61,2,2
Onion,29,50,17,10
Carrot,3,93,20,7
Brinjal,24,80,9,1
Brinjal,11,72,1,8
Potato,10,60,6,37
Cauliflower,6,87,17,1
Cucumber,14,91,8,1
Capsicum,14,75,17,1
Carrot,5,92,18,8
Onion,18,42,10,7
Carrot,7,94,12,44
Cabbage,3,92,9,30
Spinach,0,96,14,1
Cabbage,4,91,14,21
Carrot,7,88,1,31
Potato,13,54,8,28
Capsicum,19,78,16,1
Spinach,2,96,7,1
Tomato,26,75,10,1
Brinjal,15,75,13,1
Cucumber,15,91,20,1
Spinach,1,100,17,1
Capsicum,9,68,14,1
Potato,10,41,12,48
Tomato,25,66,20,1
Capsicum,15,77,8,5
Spinach,2,94,11,1
Tomato,27,60,4,2
Onion,25,54,2,22
Cucumber,10,81,20,1
Carrot,2,95,5,30
Cauliflower,7,92,10,11
Potato,11,45,19,21
Onion,29,46,4,29
Potato,17,45,14,18
Cabbage,1,94,10,13
Cabbage,0,88,5,28
Brinjal,22,77,13,1
Cucumber,19,93,15,1
Carrot,6,90,16,11
Tomato,25,70,12,1
Potato,13,52,7,50
Brinjal,20,60,19,1
Carrot,7,87,2,55
Spinach,5,97,7,3
Onion,26,55,11,5
Carrot,4,93,2,47
Cauliflower,3,85,6,4
Carrot,8,94,13,46
Spinach,0,94,18,1
Onion,19,56,5,23
Tomato,27,59,13,1
Cabbage,8,86,5,31
Brinjal,22,74,7,1
Cauliflower,10,89,5,6
Tomato,25,77,15,1
Spinach,1,96,10,1
Cauliflower,6,94,10,14
Cabbage,5,94,3,32
Carrot,6,90,2,24
Tomato,20,53,11,1
Tomato,29,76,6,2
Brinjal,14,76,9,1
Brinjal,20,64,9,1
Cabbage,8,94,9,19
Cauliflower,8,90,10,3
Brinjal,21,77,9,1
Capsicum,16,74,1,15
Carrot,5,85,5,29
Potato,14,62,15,38
Carrot,3,89,14,23
Cucumber,19,81,17,1
Brinjal,12,67,18,1
Carrot,0,89,6,28
Cauliflower,2,91,5,9
Cucumber,14,91,2,8
Tomato,16,68,18,1
Onion,30,41,10,22
Cauliflower,8,89,4,25
Tomato,29,58,5,2
Potato,13,58,15,33
Tomato,27,80,7,2
Cucumber,14,82,8,1
Cabbage,0,94,14,7
Cauliflower,3,88,7,10
Brinjal,10,68,3,5
Cabbage,2,94,16,14
Tomato,18,75,14,1
Cauliflower,2,94,15,12
Onion,30,42,2,23
Capsicum,7,76,5,3
Carrot,4,93,13,15
Carrot,6,87,10,50
Capsicum,9,85,5,8
Onion,15,65,10,18
Brinjal,11,68,16,1
Cucumber,13,87,17,1
Cabbage,9,94,15,33
Capsicum,11,65,11,3
Potato,10,41,4,28
Cauliflower,9,95,17,13
Tomato,30,77,6,1
Carrot,2,92,17,34
Cauliflower,7,86,5,25
Cabbage,7,91,18,22
Carrot,7,88,19,12
Capsicum,18,81,18,1
Capsicum,15,68,7,13
Spinach,5,97,1,12
Brinjal,16,60,16,1
Onion,22,69,8,10
Tomato,21,62,7,1
Cabbage,1,88,9,39
Potato,20,56,6,15
Carrot,1,92,5,32
Brinjal,10,74,20,1
Brinjal,24,77,9,4
Tomato,25,55,17,1
Cucumber,16,90,6,2
Carrot,2,95,2,18
Capsicum,15,70,12,2
Potato,17,43,4,48
Cauliflower,4,90,20,1
Cauliflower,7,95,12,8
Capsicum,8,81,6,13
Spinach,3,90,6,9
Capsicum,15,80,16,1
Onion,27,43,8,9
Brinjal,22,60,6,1
Capsicum,15,81,17,1
Potato,18,68,2,47
Brinjal,14,66,3,7
Capsicum,8,85,13,1
Cauliflower,7,85,19,9
Brinjal,11,61,2,12
Carrot,5,92,20,7
Onion,25,41,19,14
Potato,10,57,20,28
Spinach,4,91,8,1
Cabbage,7,91,20,11
Tomato,29,53,2,6
Cucumber,13,86,11,1
Carrot,5,93,20,21
Spinach,3,95,16,1
Brinjal,15,68,1,14
Spinach,4,93,11,1
Onion,22,70,12,27
Spinach,1,94,13,1
Cabbage,5,89,16,2
Brinjal,17,80,6,1
Tomato,22,57,16,1
Cauliflower,1,91,11,3
Potato,13,45,3,42
Brinjal,10,80,5,8
Cauliflower,2,86,19,9
Cucumber,14,81,6,9
Onion,21,52,13,12
Tomato,24,55,19,1
Cucumber,18,82,6,8
Cauliflower,3,86,10,15
Brinjal,24,80,13,2
Cauliflower,1,94,5,19
Onion,29,40,9,8
Cauliflower,3,92,11,12
Cucumber,11,83,9,6
Cabbage,1,87,4,17
Capsicum,17,76,12,3
Cauliflower,2,92,4,16
Brinjal,13,72,8,4
Cauliflower,5,95,3,15
Cauliflower,10,89,1,10
Spinach,4,96,2,8
Spinach,1,90,5,7
Carrot,4,88,17,34
Cabbage,8,95,13,13
Cucumber,14,84,1,4
Tomato,19,71,15,1
Cucumber,11,90,2,9
Capsicum,19,74,18,1
Tomato,22,62,8,2
Carrot,2,87,1,32
Cauliflower,5,95,6,20
Cabbage,5,95,1,45
Carrot,7,90,7,23
Onion,15,40,9,2
Cabbage,5,93,16,28
Potato,16,43,1,54
Capsicum,19,79,17,1
Cauliflower,7,87,11,18
Cucumber,15,95,7,5
Capsicum,15,77,11,1
Tomato,23,55,14,1
Brinjal,15,70,8,1
Cucumber,10,81,12,1
Brinjal,11,66,2,3
Carrot,7,86,17,25
Cauliflower,10,91,15,1
Capsicum,12,76,2,13
Onion,24,41,18,12
Spinach,4,98,15,1
Onion,21,45,15,21
Spinach,2,100,19,1
Capsicum,19,72,5,2
Brinjal,12,80,8,2
Cauliflower,4,93,15,3
Spinach,5,94,4,2
Cabbage,0,91,16,4
Cabbage,1,93,4,29
Capsicum,8,84,6,3
Potato,13,65,9,45
Carrot,1,94,15,33
Tomato,26,55,15,1
Capsicum,8,83,7,6
Capsicum,14,69,5,13
Potato,14,64,19,35
Brinjal,11,78,9,1
Tomato,29,62,9,1
Cabbage,8,92,15,7
Carrot,0,90,15,12
Spinach,3,94,18,1
Spinach,1,90,15,1
Tomato,21,78,6,1
Spinach,0,95,10,1
Cauliflower,9,85,2,18
Tomato,20,56,9,1
Spinach,0,93,14,1
Potato,18,51,3,56
Spinach,3,98,13,1
Cucumber,19,92,6,5
Cauliflower,8,88,15,8
Brinjal,19,62,1,4
Brinjal,16,77,8,1
Cauliflower,5,88,9,14
Cauliflower,10,86,14,12
Tomato,27,70,13,1
Potato,10,51,6,46
Brinjal,12,75,18,1
Cucumber,18,88,12,1
Cauliflower,9,95,20,1
Tomato,29,54,17,1
Tomato,16,64,10,1
Capsicum,17,75,18,1
Tomato,27,58,12,1
Spinach,4,98,14,1
Spinach,3,97,2,8
Cucumber,10,86,14,1
Carrot,2,91,15,30
Capsicum,14,67,4,10
Spinach,4,91,13,1
Cabbage,9,85,11,5
Onion,15,55,12,4
Brinjal,24,66,17,1
Cabbage,3,93,13,3
Cauliflower,8,91,18,1
Brinjal,14,70,3,6
Tomato,15,71,3,3
Onion,16,69,2,34
Cabbage,0,91,5,42
Onion,27,43,3,34
Brinjal,20,71,1,5
Potato,14,45,2,36
Cabbage,6,85,18,28
Onion,26,40,5,7
Cucumber,17,80,1,14
Onion,20,46,1,38
Tomato,21,72,8,1
Cauliflower,2,93,12,16
Cucumber,15,84,12,1
Cucumber,13,91,5,3
Potato,20,53,1,56
Onion,16,43,7,17
Cabbage,4,86,5,14
Brinjal,15,70,13,1
Cauliflower,9,94,16,3
Potato,16,53,11,23
Onion,24,52,12,24
Cauliflower,7,86,7,5
Spinach,3,95,2,7
Carrot,6,86,20,11
Cucumber,17,88,6,9
Brinjal,24,61,15,1
Brinjal,15,80,2,13
Carrot,3,95,19,12
Potato,10,52,14,33
Cauliflower,3,89,5,24
Spinach,1,96,7,1
Spinach,5,95,3,5
Spinach,0,92,15,1
Cabbage,2,95,9,8
Carrot,10,95,17,41
Capsicum,9,81,4,13
Potato,20,53,18,41
Carrot,7,90,15,44
Tomato,22,75,10,1
Cucumber,14,90,3,5
Tomato,20,61,1,4
Cauliflower,2,93,12,2
Cabbage,8,85,10,13
Cucumber,20,86,4,8
Onion,27,55,20,10
Brinjal,19,74,12,1
Brinjal,15,79,5,10
Cucumber,19,81,15,1
Tomato,17,74,11,1
Spinach,1,99,6,8
Spinach,0,92,13,1
Brinjal,19,76,12,1
Brinjal,22,77,19,1
Capsicum,15,69,13,1
Capsicum,19,77,1,13
Spinach,1,94,16,1
Potato,16,54,15,1
Spinach,4,97,20,1
Brinjal,20,78,18,1
Capsicum,9,73,14,1
Cabbage,3,94,17,26
Cucumber,14,92,6,2
Cabbage,8,92,5,15
Potato,13,69,7,25
Potato,11,60,11,13
Capsicum,10,82,8,3
Carrot,9,90,5,41
Capsicum,8,67,20,1
Spinach,0,90,9,1
Onion,24,42,2,28
Spinach,4,100,10,1
Cucumber,20,91,4,6
Carrot,10,93,5,42
Carrot,2,90,8,21
Capsicum,15,74,12,1
Cabbage,7,95,11,29
Capsicum,15,65,10,5
Brinjal,24,70,8,7
Spinach,4,95,9,5
Carrot,5,92,6,15
Brinjal,20,77,9,5
Tomato,24,77,5,1
Brinjal,23,66,6,9
Potato,20,54,15,34
Brinjal,15,73,11,1
Spinach,3,94,18,1
Tomato,21,68,17,1
Spinach,4,94,7,1
Tomato,25,61,1,2
Cabbage,4,86,1,38
Spinach,5,100,4,9
Brinjal,11,65,3,12
Onion,17,66,2,16
Onion,17,60,4,26
Tomato,29,64,15,1
Capsicum,11,67,2,13
Cucumber,12,91,11,3
Capsicum,16,65,17,1
Cauliflower,8,89,18,1
Cauliflower,9,85,6,5
Spinach,3,99,18,1
Cucumber,14,85,8,1
Brinjal,12,62,19,1
Onion,16,43,20,3
Cauliflower,7,86,7,13
Cauliflower,3,87,17,12
Cabbage,6,91,16,20
Carrot,0,89,8,22
Potato,17,70,5,15
Cauliflower,2,95,3,11
Cucumber,12,95,2,3
Brinjal,11,62,9,1
Onion,28,63,13,2
Capsicum,12,65,17,1
Spinach,1,100,13,2
Spinach,2,91,9,3
Spinach,5,90,2,6
Potato,14,49,10,38
Cabbage,6,93,11,15
Onion,16,45,19,13
Brinjal,21,65,9,5
Onion,23,50,19,19
Capsicum,20,76,8,4
Spinach,4,92,8,5
Cabbage,8,87,3,34
Spinach,1,99,10,5
Spinach,1,94,19,1
Tomato,23,65,9,1
Brinjal,19,62,20,1
Spinach,5,96,17,1
Cauliflower,10,95,11,12
Tomato,19,55,14,1
Cabbage,0,91,15,11
Carrot,2,87,14,13
Onion,29,62,3,27
Capsicum,15,70,8,9
Carrot,10,95,14,45
Capsicum,11,82,6,2
Capsicum,18,79,7,11
Cauliflower,10,86,3,25
Carrot,1,92,17,20
Potato,11,68,12,41
Onion,17,58,9,16
Cabbage,10,95,16,1
Potato,16,47,4,31
Spinach,4,97,20,1
Carrot,2,93,17,24
Capsicum,12,85,12,3
Onion,20,65,17,14
Potato,11,67,2,31
Cauliflower,10,87,6,14
Potato,10,53,9,14
Onion,19,63,10,22
Onion,15,45,14,20
Spinach,0,90,8,6
Cucumber,10,86,5,4
Potato,11,51,14,41
Capsicum,8,72,6,8
Spinach,1,95,14,1
Cabbage,5,88,16,10
Cauliflower,5,91,2,10
Cabbage,0,89,7,13
Carrot,9,94,6,52
Cucumber,18,83,6,2
Spinach,2,95,19,1
Cabbage,5,92,9,6
Carrot,7,85,17,43
Capsicum,12,80,5,7
Cucumber,15,92,17,1
Tomato,21,76,15,1
Potato,17,42,5,18
Cauliflower,3,90,10,2
Cauliflower,5,94,12,10
Spinach,3,94,3,10
Carrot,7,93,20,7
Cauliflower,5,88,3,22
Cucumber,12,86,7,2
Capsicum,16,79,16,1
Spinach,4,96,11,1
Cabbage,7,85,7,38
Capsicum,10,75,17,1
Brinjal,12,73,17,1
Potato,19,48,10,9
Cabbage,2,95,10,23
Capsicum,14,65,9,11
Cabbage,5,94,13,10
Brinjal,17,75,20,1
Capsicum,16,75,4,8
Tomato,17,75,19,1
Brinjal,13,77,13,1
Onion,23,63,17,8
Onion,26,47,8,15
Brinjal,21,76,18,1
Onion,26,51,12,3
Capsicum,17,81,11,1
Onion,24,51,6,6
Capsicum,7,73,18,1
Cucumber,11,81,11,1
Potato,20,66,15,36
Cabbage,7,93,7,24
Brinjal,23,70,10,1
Cucumber,13,91,14,1
Brinjal,10,77,10,1
Cucumber,19,95,5,7
Carrot,6,85,9,34
Capsicum,19,75,8,12
Capsicum,9,84,17,1
Potato,19,61,7,51
Cucumber,11,85,4,9
Cauliflower,1,92,4,26
Brinjal,13,67,20,1
Cucumber,17,89,6,6
Cucumber,18,81,11,3
Capsicum,16,66,11,1
Spinach,2,95,20,1
Onion,24,60,10,27
Capsicum,10,73,1,18
Cauliflower,4,93,19,1
Spinach,0,99,7,4
Onion,18,59,17,5
Spinach,3,96,6,9
Potato,14,42,7,26
Carrot,6,86,6,38
Carrot,0,85,11,28
Spinach,2,98,10,2
Spinach,1,91,6,8
Carrot,1,94,18,18
Onion,19,45,16,19
Brinjal,12,74,11,1
Carrot,8,91,5,50
Cucumber,18,92,6,2
Potato,12,64,6,24
Cucumber,14,92,5,1
Onion,17,59,20,1
Carrot,0,93,9,22
Cabbage,3,88,18,12
Brinjal,18,61,17,1
Capsicum,10,72,3,6
Brinjal,16,67,19,1
Cauliflower,9,88,3,10
Capsicum,20,85,5,14
Cabbage,0,90,18,5
Cabbage,1,95,2,26
Spinach,2,99,20,1
Cucumber,10,86,17,1
Cauliflower,7,92,16,1
Tomato,24,72,10,1
Onion,30,51,19,1
Capsicum,16,81,4,16
Carrot,4,95,5,38
Potato,15,62,19,1
Spinach,0,91,19,1
Carrot,3,86,3,33
Capsicum,7,80,2,17
Carrot,3,87,16,34
Capsicum,17,78,20,1
Carrot,9,89,4,47
Capsicum,8,77,19,1
Tomato,21,75,4,6
Carrot,3,95,11,24
Cucumber,14,93,5,4
Potato,19,43,2,57
Tomato,17,66,16,1
Potato,12,40,20,31
Spinach,2,100,8,1
Potato,11,53,14,16
Potato,18,69,2,53
Onion,25,46,10,20
Tomato,26,51,12,1
Brinjal,16,75,7,1
Brinjal,11,74,5,6
Carrot,10,86,12,12
Cabbage,2,86,2,43
Cauliflower,1,88,10,9
Cucumber,19,90,6,2
Cucumber,12,94,12,1
Brinjal,12,62,9,3
Capsicum,16,66,9,7
Cabbage,0,85,8,29
Cauliflower,0,85,11,19
Cauliflower,7,85,11,5
Capsicum,19,73,18,1
Cucumber,12,86,15,1
Onion,17,62,10,25
Potato,15,55,16,35
Onion,26,49,13,8
Capsicum,14,70,14,5
Cauliflower,10,91,13,7
Cauliflower,4,95,5,25
Carrot,10,89,4,37
Brinjal,14,71,20,1
Cauliflower,8,94,10,7
Cabbage,7,95,6,32
Tomato,15,70,12,1
Brinjal,17,76,4,4
Cauliflower,0,93,3,16
Capsicum,15,83,19,1
Cucumber,14,83,16,1
Spinach,1,97,7,2
Tomato,26,78,6,2
Cucumber,14,86,6,1
Cabbage,5,86,6,34
Potato,17,42,8,14
Cauliflower,4,85,15,15
Brinjal,14,76,5,1
Tomato,23,72,14,1
Cucumber,17,87,16,1
Brinjal,18,60,11,1
Onion,16,43,20,3
Spinach,4,99,14,1
Cabbage,9,87,12,26
Tomato,17,73,4,5
Tomato,24,80,13,1
Brinjal,11,68,16,1
Brinjal,12,76,4,6
Carrot,10,85,3,18
Tomato,26,52,6,1
Onion,21,57,14,1
Spinach,2,91,13,1
Carrot,3,91,5,34
